 TANGGAL	MEMBER CODE	SERI SURAT BERHARGA	AIDNO	NAMA NASABAH	CUSTODY CODE	INVESTOR TYPE	STATUS REKENING	POSISI REKENING	NOMINAL
19/12/2019	SRBNINIDJA	FR0064	2200036838	PT CITRA INTERNASIONAL UNDERWRITERS	CR	CP	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0064	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	27487000000
19/12/2019	SRBNINIDJA	FR0064	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	40000000000
19/12/2019	SRBNINIDJA	FR0064	PT-AJ INHEALTH	PT ASSR JIWA INHEALTH INDONESIA	CR	IS	AC	+	90000000000
19/12/2019	SRBNINIDJA	FR0064	PT-JASINDO	PT. ASURANSI JASA INDONESIA	CR	IS	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0064	PT-TRIPA	PT. ASURANSI TRIPAKARTA	CR	IS	AC	+	16229000000
19/12/2019	SRBNINIDJA	FR0064	140196250001	RDT MNC DANA TERPROTEKSI III	CR	MF	AC	+	215000000
19/12/2019	SRBNINIDJA	FR0064	150200030001	RDT MNC DANA TERPROTEKSI V	CR	MF	AC	+	100000000000
19/12/2019	SRBNINIDJA	FR0064	150200830001	RDT INSIGHT TERPROTEKSI V	CR	MF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0064	170216430001	REKSA DANA CORPUS BALANCED FUND I	CR	MF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0064	170218230001	REKSA DANA MAM BALANCED FUND	CR	MF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0064	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	620328000000
19/12/2019	SRBNINIDJA	FR0064	120182680001	DP. BTN II	CR	PF	AC	+	24564000000
19/12/2019	SRBNINIDJA	FR0064	130189650001	DP. Rajawali Nusantara Indonesia	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0064	140192820001	DP.BPD SULAWESI TENGAH	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0064	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	9000000000
19/12/2019	SRBNINIDJA	FR0064	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	95000000000
19/12/2019	SRBNINIDJA	FR0064	BNI-DP-A	DP BNI	CR	PF	AC	+	39388000000
19/12/2019	SRBNINIDJA	FR0064	DP-BKI	Dana Pensiun Biro Klasifika Indonesia	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0064	DP-BTN	DP. BTN	CR	PF	AC	+	48811000000
19/12/2019	SRBNINIDJA	FR0064	DP-SAK	DANA PENSIUN UNIVERSITAS TRISAKTI	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0064	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	8456000000
19/12/2019	SRBNINIDJA	FR0064	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0064	DPBANKDKI	DP BANK DKI	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0064	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	163899000000
19/12/2019	SRBNINIDJA	FR0064	YDP-KIMIA	DANA PENSIUN KIMIA FARMA	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0065	2200036838	PT CITRA INTERNASIONAL UNDERWRITERS	CR	CP	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0065	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0065	YKK-PP	YKK PEMBANGUNAN PERUMAHAN	CR	FD	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0065	120179660003	PT-JASINDO 2	CR	IS	AC	+	50000000000
19/12/2019	SRBNINIDJA	FR0065	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	210000000000
19/12/2019	SRBNINIDJA	FR0065	PT-AJ INHEALTH	PT ASSR JIWA INHEALTH INDONESIA	CR	IS	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0065	PT-TRIPA	PT. ASURANSI TRIPAKARTA	CR	IS	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0065	150200830001	RDT INSIGHT TERPROTEKSI V	CR	MF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0065	170220630001	REKSA DANA VALBURY FIXED INCOME FUND I	CR	MF	AC	+	7000000000
19/12/2019	SRBNINIDJA	FR0065	190236030001	REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 46	CR	MF	AC	+	35000000000
19/12/2019	SRBNINIDJA	FR0065	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	200000000000
19/12/2019	SRBNINIDJA	FR0065	1100036913	DP. UNMUH MALANG	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0065	120186830001	DANA PENSIUN PEGAWAI BANK BPR JATIM	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0065	140192820001	DP.BPD SULAWESI TENGAH	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0065	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	28391000000
19/12/2019	SRBNINIDJA	FR0065	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	13300000000
19/12/2019	SRBNINIDJA	FR0065	BNI-DP-A	DP BNI	CR	PF	AC	+	118285000000
19/12/2019	SRBNINIDJA	FR0065	BPD-JATIM	DP. BPD Jatim	CR	PF	AC	+	43000000000
19/12/2019	SRBNINIDJA	FR0065	DP-BTN	DP. BTN	CR	PF	AC	+	69647000000
19/12/2019	SRBNINIDJA	FR0065	DP-JABAR	DP BPD JABAR	CR	PF	AC	+	35000000000
19/12/2019	SRBNINIDJA	FR0065	DP-PAL	DP. PT. PAL	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0065	DP-PELNI	DP PT PELNI	CR	PF	AC	+	9000000000
19/12/2019	SRBNINIDJA	FR0065	DP-PP	DP Pmb.Perumahan	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0065	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	8000000000
19/12/2019	SRBNINIDJA	FR0065	DP.BAPTIS	DP Baptis	CR	PF	AC	+	1424000000
19/12/2019	SRBNINIDJA	FR0065	DPBANKDKI	DP BANK DKI	CR	PF	AC	+	35000000000
19/12/2019	SRBNINIDJA	FR0065	DPJASINDO	DP Jasindo	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0065	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	234921000000
19/12/2019	SRBNINIDJA	FR0065	TEL-DP	DP. Telkom	CR	PF	AC	+	563666000000
19/12/2019	SRBNINIDJA	FR0065	YDP-KIMIA	DANA PENSIUN KIMIA FARMA	CR	PF	AC	+	7000000000
19/12/2019	SRBNINIDJA	FR0067	120179660003	PT-JASINDO 2	CR	IS	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0067	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0067	DP-JAYA	DP PEMBANGUNAN JAYA	CR	PF	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0067	DP-POS	DP Pos Indonesia	CR	PF	AC	+	4173000000
19/12/2019	SRBNINIDJA	FR0067	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	2500000000
19/12/2019	SRBNINIDJA	FR0067	DP.BAPTIS	DP Baptis	CR	PF	AC	+	774000000
19/12/2019	SRBNINIDJA	FR0067	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	60000000000
19/12/2019	SRBNINIDJA	FR0067	DPPINDAD	DP PINDAD	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0067	TEL-DP	DP. Telkom	CR	PF	AC	+	409123000000
19/12/2019	SRBNINIDJA	FR0068	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	110000000000
19/12/2019	SRBNINIDJA	FR0068	PT.BEI	PT BURSA EFEK INDONESIA	CR	CP	AC	+	33157000000
19/12/2019	SRBNINIDJA	FR0068	120179660003	PT-JASINDO 2	CR	IS	AC	+	35000000000
19/12/2019	SRBNINIDJA	FR0068	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0068	PT-AJ INHEALTH	PT ASSR JIWA INHEALTH INDONESIA	CR	IS	AC	+	50000000000
19/12/2019	SRBNINIDJA	FR0068	140194630001	REKSA DANA INSIGHT TUNAS BANGSA (I-NEXT G)	CR	MF	AC	+	0
19/12/2019	SRBNINIDJA	FR0068	140194820001	REKSA DANA INSIGHT SUPPORT (I-SUPPORT)	CR	MF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0068	150200840001	REKSA DANA INSIGHT GREEN (I-GREEN)	CR	MF	AC	+	4000000000
19/12/2019	SRBNINIDJA	FR0068	17021343001	REKSA DANA PREMIER ETF INDONESIA SOVEREIGN BONDS	CR	MF	AC	+	7000000000
19/12/2019	SRBNINIDJA	FR0068	170218430001	REKSA DANA INSIGHT GENERATE BALANCED FUND 2 (I-GENERATE 2)	CR	MF	AC	+	4000000000
19/12/2019	SRBNINIDJA	FR0068	190236030001	REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 46	CR	MF	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0068	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	246022000000
19/12/2019	SRBNINIDJA	FR0068	1100036914	DANA PENSIUN BANK PAPUA	CR	PF	AC	+	3638000000
19/12/2019	SRBNINIDJA	FR0068	140191830001	DP. HARAPAN SEJAHTERA	CR	PF	AC	+	5500000000
19/12/2019	SRBNINIDJA	FR0068	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	34000000000
19/12/2019	SRBNINIDJA	FR0068	170216630001	Dana Pensiun Gelora Senayan	CR	PF	AC	+	8550000000
19/12/2019	SRBNINIDJA	FR0068	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	26000000000
19/12/2019	SRBNINIDJA	FR0068	BNI-DP-A	DP BNI	CR	PF	AC	+	35000000000
19/12/2019	SRBNINIDJA	FR0068	DP-BSULSEL	DP. BPD SULSEL	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0068	DP-JABAR	DP BPD JABAR	CR	PF	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0068	DP-PAL	DP. PT. PAL	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0068	DP-PELNI	DP PT PELNI	CR	PF	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0068	DP-POS	DP Pos Indonesia	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0068	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0068	DP.BAPTIS	DP Baptis	CR	PF	AC	+	2200000000
19/12/2019	SRBNINIDJA	FR0068	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	183602000000
19/12/2019	SRBNINIDJA	FR0068	JT-LUHUR	DP. JASA TIRTA II	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0070	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0070	PT.BEI	PT BURSA EFEK INDONESIA	CR	CP	AC	+	8500000000
19/12/2019	SRBNINIDJA	FR0070	120179660003	PT-JASINDO 2	CR	IS	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0070	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	35000000000
19/12/2019	SRBNINIDJA	FR0070	PT-AJ INHEALTH	PT ASSR JIWA INHEALTH INDONESIA	CR	IS	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0070	140194630001	REKSA DANA INSIGHT TUNAS BANGSA (I-NEXT G)	CR	MF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0070	150198240001	REKSA DANA INSIGHT PLAN (I-PLAN)	CR	MF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0070	170214630001	REKSA DANA TERPROTEKSI ASANUSA DYNAMIC PROTECTED FUND	CR	MF	AC	+	105000000000
19/12/2019	SRBNINIDJA	FR0070	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	15000000000
19/12/2019	SRBNINIDJA	FR0070	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	2415853000000
19/12/2019	SRBNINIDJA	FR0070	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	41000000000
19/12/2019	SRBNINIDJA	FR0070	DP-POS	DP Pos Indonesia	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0070	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0070	DP.HII	DP.HII	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0070	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	128751000000
19/12/2019	SRBNINIDJA	FR0071	180233830001	PT Timberdana	CR	CP	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0071	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0071	PT-AJ INHEALTH	PT ASSR JIWA INHEALTH INDONESIA	CR	IS	AC	+	40000000000
19/12/2019	SRBNINIDJA	FR0071	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	621084000000
19/12/2019	SRBNINIDJA	FR0071	140192230001	KPD SCHRODERS S/A DP FREEPORT	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0071	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	29000000000
19/12/2019	SRBNINIDJA	FR0071	BNI-DP-A	DP BNI	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0071	DP-BKI	Dana Pensiun Biro Klasifika Indonesia	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0071	DP-JABAR	DP BPD JABAR	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0071	DP-POS	DP Pos Indonesia	CR	PF	AC	+	15000000000
19/12/2019	SRBNINIDJA	FR0071	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0071	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	152004000000
19/12/2019	SRBNINIDJA	FR0071	BNISECURI	PT. BNI SECURITIES	CR	SC	AC	+	0
19/12/2019	SRBNINIDJA	FR0072	180233830001	PT Timberdana	CR	CP	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0072	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	243000000000
19/12/2019	SRBNINIDJA	FR0072	170214430001	YAYASAN KANKER INDONESIA	CR	FD	AC	+	1400000000
19/12/2019	SRBNINIDJA	FR0072	120179660003	PT-JASINDO 2	CR	IS	AC	+	63000000000
19/12/2019	SRBNINIDJA	FR0072	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0072	140194630001	REKSA DANA INSIGHT TUNAS BANGSA (I-NEXT G)	CR	MF	AC	+	101000000
19/12/2019	SRBNINIDJA	FR0072	150200830001	RDT INSIGHT TERPROTEKSI V	CR	MF	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0072	160208030001	REKSA DANA TERPROTEKSI ASANUSA SUPREME BOND INVESTMENT	CR	MF	AC	+	65000000000
19/12/2019	SRBNINIDJA	FR0072	170213040001	REKSA DANA LAUTANDHANA MAXIMA INCOME FUND	CR	MF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0072	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0072	1100036898	DANA PENSIUN GEREJA KRISTEN JAWI WETAN	CR	PF	AC	+	200000000
19/12/2019	SRBNINIDJA	FR0072	1100036913	DP. UNMUH MALANG	CR	PF	AC	+	8000000000
19/12/2019	SRBNINIDJA	FR0072	1100036914	DANA PENSIUN BANK PAPUA	CR	PF	AC	+	44841000000
19/12/2019	SRBNINIDJA	FR0072	140191850001	DANA PENSIUN GUNUNG MADU	CR	PF	AC	+	7000000000
19/12/2019	SRBNINIDJA	FR0072	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	8000000000
19/12/2019	SRBNINIDJA	FR0072	170216630001	Dana Pensiun Gelora Senayan	CR	PF	AC	+	11143000000
19/12/2019	SRBNINIDJA	FR0072	BNI-DP-A	DP BNI	CR	PF	AC	+	35000000000
19/12/2019	SRBNINIDJA	FR0072	BPD-JATIM	DP. BPD Jatim	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0072	DP-BKI	Dana Pensiun Biro Klasifika Indonesia	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0072	DP-BSULSEL	DP. BPD SULSEL	CR	PF	AC	+	36000000000
19/12/2019	SRBNINIDJA	FR0072	DP-DAI	DANA PENSIUN DNP INDONESIA	CR	PF	AC	+	40000000000
19/12/2019	SRBNINIDJA	FR0072	DP-JABAR	DP BPD JABAR	CR	PF	AC	+	58997000000
19/12/2019	SRBNINIDJA	FR0072	DP-JAYA	DP PEMBANGUNAN JAYA	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0072	DP-PAL	DP. PT. PAL	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0072	DP-PELNI	DP PT PELNI	CR	PF	AC	+	12000000000
19/12/2019	SRBNINIDJA	FR0072	DP-POS	DP Pos Indonesia	CR	PF	AC	+	60000000000
19/12/2019	SRBNINIDJA	FR0072	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0072	DP.BAPTIS	DP Baptis	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0072	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	181929000000
19/12/2019	SRBNINIDJA	FR0072	DPPINDAD	DP PINDAD	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0072	DPSWADHAR	DANA PENSIUN SWADHARMA INDOTAMA FINANCE	CR	PF	AC	+	600000000
19/12/2019	SRBNINIDJA	FR0072	JT-LUHUR	DP. JASA TIRTA II	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0073	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	60000000000
19/12/2019	SRBNINIDJA	FR0073	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0073	140194630001	REKSA DANA INSIGHT TUNAS BANGSA (I-NEXT G)	CR	MF	AC	+	2942000000
19/12/2019	SRBNINIDJA	FR0073	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	15000000000
19/12/2019	SRBNINIDJA	FR0073	1100036914	DANA PENSIUN BANK PAPUA	CR	PF	AC	+	14967000000
19/12/2019	SRBNINIDJA	FR0073	140191830001	DP. HARAPAN SEJAHTERA	CR	PF	AC	+	5682000000
19/12/2019	SRBNINIDJA	FR0073	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	9000000000
19/12/2019	SRBNINIDJA	FR0073	DP-BKI	Dana Pensiun Biro Klasifika Indonesia	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0073	DP-BSULSEL	DP. BPD SULSEL	CR	PF	AC	+	9000000000
19/12/2019	SRBNINIDJA	FR0073	DP-BTN	DP. BTN	CR	PF	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0073	DP-JABAR	DP BPD JABAR	CR	PF	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0073	DP-POS	DP Pos Indonesia	CR	PF	AC	+	24082000000
19/12/2019	SRBNINIDJA	FR0073	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0073	DP.AEROWIS	DP.AEROWISATA	CR	PF	AC	+	816000000
19/12/2019	SRBNINIDJA	FR0073	DP.BAPTIS	DP Baptis	CR	PF	AC	+	562000000
19/12/2019	SRBNINIDJA	FR0073	DP.OTSUKA	DP PT OTSUKA INDONESIA	CR	PF	AC	+	2500000000
19/12/2019	SRBNINIDJA	FR0073	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	175363000000
19/12/2019	SRBNINIDJA	FR0073	TEL-DP	DP. Telkom	CR	PF	AC	+	192000000000
19/12/2019	SRBNINIDJA	FR0074	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	33374000000
19/12/2019	SRBNINIDJA	FR0074	170214430001	YAYASAN KANKER INDONESIA	CR	FD	AC	+	4800000000
19/12/2019	SRBNINIDJA	FR0074	120179660003	PT-JASINDO 2	CR	IS	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0074	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	18261000000
19/12/2019	SRBNINIDJA	FR0074	PT-AJ INHEALTH	PT ASSR JIWA INHEALTH INDONESIA	CR	IS	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0074	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0074	190236030001	REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 46	CR	MF	AC	+	105000000000
19/12/2019	SRBNINIDJA	FR0074	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	483215000000
19/12/2019	SRBNINIDJA	FR0074	1100036898	DANA PENSIUN GEREJA KRISTEN JAWI WETAN	CR	PF	AC	+	200000000
19/12/2019	SRBNINIDJA	FR0074	1100036914	DANA PENSIUN BANK PAPUA	CR	PF	AC	+	6757000000
19/12/2019	SRBNINIDJA	FR0074	120186830001	DANA PENSIUN PEGAWAI BANK BPR JATIM	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0074	140192230001	KPD SCHRODERS S/A DP FREEPORT	CR	PF	AC	+	66000000000
19/12/2019	SRBNINIDJA	FR0074	140192820001	DP.BPD SULAWESI TENGAH	CR	PF	AC	+	7000000000
19/12/2019	SRBNINIDJA	FR0074	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0074	BPD-JATIM	DP. BPD Jatim	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0074	DP-BSULSEL	DP. BPD SULSEL	CR	PF	AC	+	29000000000
19/12/2019	SRBNINIDJA	FR0074	DP-JABAR	DP BPD JABAR	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0074	DP-PGI	DP. PGI	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0074	DP-POS	DP Pos Indonesia	CR	PF	AC	+	19695000000
19/12/2019	SRBNINIDJA	FR0074	DP-PP	DP Pmb.Perumahan	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0074	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	8106000000
19/12/2019	SRBNINIDJA	FR0074	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	4000000000
19/12/2019	SRBNINIDJA	FR0074	DP.BAPTIS	DP Baptis	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0074	DP.OTSUKA	DP PT OTSUKA INDONESIA	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0074	DPBANKDKI	DP BANK DKI	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0074	DPJASINDO	DP Jasindo	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0074	DPPINDAD	DP PINDAD	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0074	SINT-CARO	DP. Sint Carolus	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0075	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	73358000000
19/12/2019	SRBNINIDJA	FR0075	YKK-PP	YKK PEMBANGUNAN PERUMAHAN	CR	FD	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0075	120179660003	PT-JASINDO 2	CR	IS	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0075	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	80000000000
19/12/2019	SRBNINIDJA	FR0075	160207630001	REKSA DANA INSIGHT BRIGHT (I-BRIGHT)	CR	MF	AC	+	8857000000
19/12/2019	SRBNINIDJA	FR0075	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	800000000000
19/12/2019	SRBNINIDJA	FR0075	1100036898	DANA PENSIUN GEREJA KRISTEN JAWI WETAN	CR	PF	AC	+	200000000
19/12/2019	SRBNINIDJA	FR0075	1100036913	DP. UNMUH MALANG	CR	PF	AC	+	12000000000
19/12/2019	SRBNINIDJA	FR0075	1100036914	DANA PENSIUN BANK PAPUA	CR	PF	AC	+	24130000000
19/12/2019	SRBNINIDJA	FR0075	120186830001	DANA PENSIUN PEGAWAI BANK BPR JATIM	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0075	140191850001	DANA PENSIUN GUNUNG MADU	CR	PF	AC	+	9000000000
19/12/2019	SRBNINIDJA	FR0075	140192820001	DP.BPD SULAWESI TENGAH	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0075	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0075	170216630001	Dana Pensiun Gelora Senayan	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0075	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	32200000000
19/12/2019	SRBNINIDJA	FR0075	190237230001	DANA PENSIUN EVEREADY INDONESIA	CR	PF	AC	+	2800000000
19/12/2019	SRBNINIDJA	FR0075	BPD-JATIM	DP. BPD Jatim	CR	PF	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0075	DP-BKI	Dana Pensiun Biro Klasifika Indonesia	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0075	DP-BSULSEL	DP. BPD SULSEL	CR	PF	AC	+	22977000000
19/12/2019	SRBNINIDJA	FR0075	DP-DAI	DANA PENSIUN DNP INDONESIA	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0075	DP-JABAR	DP BPD JABAR	CR	PF	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0075	DP-PAL	DP. PT. PAL	CR	PF	AC	+	2937000000
19/12/2019	SRBNINIDJA	FR0075	DP-PELNI	DP PT PELNI	CR	PF	AC	+	40500000000
19/12/2019	SRBNINIDJA	FR0075	DP-PGI	DP. PGI	CR	PF	AC	+	9000000000
